0,9781245562344
17,9788345645731
18,9788423454331
19,9788523645731
20,9788674345731
21,9788804325645
22,9788804612331
25,9788804645731
26,9788804662648
27,9788804664994
30,9788804666905
36,9788804676379
38,9788804688846
42,9788804721871
45,9788804730422
48,9788806237530
50,9788806242442
57,9788811608776
59,9788811671572
61,9788811682691
67,9788820068288
68,9788822345623
70,9788823521216
71,9788830100824
73,9788830454002
75,9788834738887
77,9788834739679
83,9788845296499
86,9788850254811
100,9788867224012
105,9788868365622
107,9788874526758
109,9788881232342
